id,name,city,category,context
eiffel_tower,"Eiffel Tower (Paris)","Paris",Landmarks,"The Eiffel Tower towering over Paris. Champ de Mars gardens, iron lattice work, romantic atmosphere, Seine river nearby."
great_wall,"Great Wall (China)","Beijing",Landmarks,"The Great Wall of China winding through green mountains. Stone fortifications, mist, steep steps, ancient history."
taj_mahal,"Taj Mahal (Agra)","Agra",Landmarks,"The white marble mausoleum. Reflecting pool, symmetrical gardens, minarets, sunrise lighting, serene and beautiful."
machu_picchu,"Machu Picchu (Peru)","Cusco",Landmarks,"Ancient Incan citadel set high in the Andes Mountains. Stone ruins, terraces, green peaks, clouds, llamas."
lambeau_field,"Lambeau Field (Green Bay)","Green Bay",Sports Arenas,"The Frozen Tundra. NFL stadium, green grass, snow falling, packed stands, historic football atmosphere."
wembley,"Wembley Stadium (London)","London",Sports Arenas,"Iconic football stadium with the famous Arch. Green pitch, massive crowd, modern architecture, electric atmosphere."
fenway_park,"Fenway Park (Boston)","Boston",Sports Arenas,"Historic baseball park. The Green Monster wall, red seats, urban city backdrop, sunny day at the ballpark."
camp_nou,"Camp Nou (Barcelona)","Barcelona",Sports Arenas,"Massive football stadium. Blue and red seats, immense scale, passion, Catalan flags, sunny Mediterranean weather."
msg_nyc,"Madison Square Garden","New York",Sports Arenas,"The World's Most Famous Arena. Indoor basketball/hockey setting, bright lights, packed vertical seating, intense energy."
wrigleyville,"Wrigleyville (Chicago)","Chicago",Chicago Neighborhoods,"The neighborhood around Wrigley Field. Red brick buildings, rooftop bleachers, baseball atmosphere, lively streets, L train passing."
lincoln_park,"Lincoln Park (Chicago)","Chicago",Chicago Neighborhoods,"Green park by the lake, zoo entrance, brownstone row houses, tree-lined streets, view of the skyline."
bronzeville,"Bronzeville (Chicago)","Chicago",Chicago Neighborhoods,"Historic metropolis of the Black Belt. Greystone buildings, jazz history murals, boulevards, cultural vibrancy."
the_loop,"The Loop (Chicago)","Chicago",Chicago Neighborhoods,"Downtown Chicago. Elevated train tracks over the street, skyscrapers, hustle and bustle, Chicago River bridges."
wicker_park,"Wicker Park (Chicago)","Chicago",Chicago Neighborhoods,"Trendy neighborhood. Victorian mansions, artistic vibe, Six Corners intersection, cafes, street art."
